0x00000000 0x01004024 and_$t0,_$t0,_0  
0x00000004 0x01204824 and_$t1,_$t1,_0 
0x00000008 0x01405024 and_$t2,_$t2,_0 
0x0000000C 0x027E9820 add_$s3,_$s3,_$fp
0x00000010 0x23DE0010 addi_$fp,_$fp,_16 
0x00000014 0x029EA020 add_$s4,_$s4,_$fp
0x00000018 0x23DE0008 addi_$fp,_$fp,_8 
0x0000001C 0x02BEA820 add_$s5,_$s5,_$fp
0x00000020 0x11100001 beq_$t0,_$s0,_P_done
0x00000024 0x11310001 beq_$t1,_$s1,_M_done
0x00000028 0x11520001 beq_$t2,_$s2,_N_done
0x0000002C 0x01AA6820 add_$t5,_$t5,_$t2
0x00000030 0x026D5820 add_$t3,_$s3,_$t5
0x00000034 0x8D6E0000 lw_$t6,_0($t3)
0x00000038 0x01A86820 add_$t5,_$t5,_$t0
0x0000003C 0x028D5820 add_$t3,_$s4,_$t5
0x00000040 0x8D6F0000 lw_$t7,_0($t3)
0x00000044 0x01A86820 add_$t5,_$t5,_$t0
0x00000048 0x02AD5820 add_$t3,_$s5,_$t5
0x0000004C 0x8D780000 lw_$t8,_0($t3)  
0x00000050 0x0198C820 add_$t9,_$t4,_$t8
0x00000054 0xAD790000 sw_$t9,_0($t3)
0x00000058 0x214A0001 addi_$t2,_$t2,_1
0x0000005C 0x21290001 addi_$t1,_$t1,_1 
0x00000060 0x01405024 and_$t2,_$t2,_$zero
0x00000064 0x21080001 addi_$t0,_$t0,_1 
0x00000068 0x01204824 and_$t1,_$t1,_$zero
